tag,model,task,subset,n,acc,mean_giou,parse_fail,acc_small,acc_medium,acc_large,blank_image,seconds
sanity32,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,32,0.8438,0.7918,0.0000,,,0.84375,False,148
sanity32_maxpix,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,32,0.8438,0.7918,0.0000,,,0.84375,False,137
sanity64_b64,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,64,0.8281,0.7734,0.0000,,,0.828125,False,318
sanity32_patched,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,32,0.8438,0.7915,0.0000,,,0.84375,False,3
bf16_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8890,0.7972,0.0000,,,0.889,False,90
w8rtn_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8870,0.7991,0.0000,,,0.887,False,88
w4rtn_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.8450,0.7538,0.0000,,,0.845,False,88
bf16_ddev1k,Qwen/Qwen3-VL-2B-Instruct,rec,ddev_refcoco_val_1k,1000,0.8900,0.8062,0.0000,,,0.89,False,95
w4rtn_ddev1k,Qwen/Qwen3-VL-2B-Instruct,rec,ddev_refcoco_val_1k,1000,0.8390,0.7438,0.0020,,,0.839,False,85
w3rtn_rec1k,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.0000,-1.0000,1.0000,,,0.0,False,107
bf16_vqa5k,Qwen/Qwen3-VL-2B-Instruct,vqa,vqa,5000,0.8114,,,,,,False,319
bf16_rec1k_FLOOR,Qwen/Qwen3-VL-2B-Instruct,rec,rec_eval_refcoco_val_1k,1000,0.0300,-0.0912,0.0050,,,0.03,True,83
