layer,kind,kl_promoted,kl_base,s_m,n_pos,n_probe
14,attn,0.112780,0.120722,0.007942,9932,512
0,attn,0.118138,0.120722,0.002584,9932,512
14,mlp,0.118194,0.120722,0.002528,9932,512
0,mlp,0.120839,0.120722,-0.000116,9932,512
15,attn,0.106917,0.120722,0.013805,9932,512
1,attn,0.119931,0.120722,0.000791,9932,512
15,mlp,0.116740,0.120722,0.003983,9932,512
1,mlp,0.117763,0.120722,0.002959,9932,512
16,attn,0.112575,0.120722,0.008147,9932,512
2,attn,0.120779,0.120722,-0.000057,9932,512
16,mlp,0.120742,0.120722,-0.000020,9932,512
2,mlp,0.126348,0.120722,-0.005626,9932,512
17,attn,0.110675,0.120722,0.010047,9932,512
3,attn,0.120174,0.120722,0.000548,9932,512
17,mlp,0.125378,0.120722,-0.004656,9932,512
3,mlp,0.121132,0.120722,-0.000410,9932,512
18,attn,0.120293,0.120722,0.000429,9932,512
4,attn,0.122167,0.120722,-0.001445,9932,512
18,mlp,0.113565,0.120722,0.007157,9932,512
4,mlp,0.121391,0.120722,-0.000669,9932,512
19,attn,0.121595,0.120722,-0.000873,9932,512
5,attn,0.118864,0.120722,0.001859,9932,512
19,mlp,0.121118,0.120722,-0.000396,9932,512
5,mlp,0.119587,0.120722,0.001135,9932,512
20,attn,0.120162,0.120722,0.000560,9932,512
6,attn,0.118112,0.120722,0.002610,9932,512
20,mlp,0.112763,0.120722,0.007959,9932,512
6,mlp,0.120770,0.120722,-0.000048,9932,512
21,attn,0.121956,0.120722,-0.001234,9932,512
7,attn,0.119251,0.120722,0.001471,9932,512
21,mlp,0.109950,0.120722,0.010772,9932,512
7,mlp,0.120471,0.120722,0.000251,9932,512
22,attn,0.119253,0.120722,0.001469,9932,512
8,attn,0.120860,0.120722,-0.000138,9932,512
22,mlp,0.115498,0.120722,0.005224,9932,512
8,mlp,0.120704,0.120722,0.000018,9932,512
23,attn,0.121070,0.120722,-0.000348,9932,512
9,attn,0.119651,0.120722,0.001071,9932,512
23,mlp,0.115469,0.120722,0.005253,9932,512
9,mlp,0.116936,0.120722,0.003786,9932,512
24,attn,0.117432,0.120722,0.003290,9932,512
10,attn,0.116606,0.120722,0.004116,9932,512
24,mlp,0.115977,0.120722,0.004745,9932,512
10,mlp,0.116744,0.120722,0.003978,9932,512
25,attn,0.117926,0.120722,0.002796,9932,512
11,attn,0.121671,0.120722,-0.000949,9932,512
25,mlp,0.115852,0.120722,0.004871,9932,512
11,mlp,0.121212,0.120722,-0.000490,9932,512
26,attn,0.118828,0.120722,0.001894,9932,512
12,attn,0.115515,0.120722,0.005207,9932,512
26,mlp,0.123587,0.120722,-0.002865,9932,512
12,mlp,0.118043,0.120722,0.002679,9932,512
27,attn,0.120374,0.120722,0.000348,9932,512
13,attn,0.113509,0.120722,0.007213,9932,512
27,mlp,0.116902,0.120722,0.003820,9932,512
13,mlp,0.116125,0.120722,0.004597,9932,512
