layer,kind,kl_promoted,kl_base,s_m,n_pos,n_probe
14,attn,0.122014,0.128254,0.006240,9932,512
0,attn,0.128162,0.128254,0.000092,9932,512
14,mlp,0.122973,0.128254,0.005280,9932,512
0,mlp,0.124233,0.128254,0.004020,9932,512
15,attn,0.129388,0.128254,-0.001135,9932,512
1,attn,0.129055,0.128254,-0.000802,9932,512
15,mlp,0.125007,0.128254,0.003247,9932,512
1,mlp,0.125253,0.128254,0.003001,9932,512
16,attn,0.120468,0.128254,0.007785,9932,512
2,attn,0.127466,0.128254,0.000788,9932,512
16,mlp,0.126961,0.128254,0.001293,9932,512
2,mlp,0.113780,0.128254,0.014473,9932,512
17,attn,0.125872,0.128254,0.002382,9932,512
3,attn,0.127006,0.128254,0.001248,9932,512
17,mlp,0.122741,0.128254,0.005513,9932,512
3,mlp,0.126501,0.128254,0.001753,9932,512
18,attn,0.128758,0.128254,-0.000504,9932,512
4,attn,0.128294,0.128254,-0.000041,9932,512
18,mlp,0.130579,0.128254,-0.002326,9932,512
4,mlp,0.126905,0.128254,0.001349,9932,512
19,attn,0.125762,0.128254,0.002492,9932,512
5,attn,0.126426,0.128254,0.001828,9932,512
19,mlp,0.126635,0.128254,0.001619,9932,512
5,mlp,0.124718,0.128254,0.003535,9932,512
20,attn,0.128508,0.128254,-0.000255,9932,512
6,attn,0.128155,0.128254,0.000099,9932,512
20,mlp,0.123858,0.128254,0.004395,9932,512
6,mlp,0.126943,0.128254,0.001311,9932,512
21,attn,0.128180,0.128254,0.000073,9932,512
7,attn,0.128238,0.128254,0.000015,9932,512
21,mlp,0.127881,0.128254,0.000373,9932,512
7,mlp,0.128115,0.128254,0.000139,9932,512
22,attn,0.128767,0.128254,-0.000514,9932,512
8,attn,0.127457,0.128254,0.000796,9932,512
22,mlp,0.126620,0.128254,0.001634,9932,512
8,mlp,0.127861,0.128254,0.000392,9932,512
23,attn,0.119072,0.128254,0.009182,9932,512
9,attn,0.126975,0.128254,0.001278,9932,512
23,mlp,0.126288,0.128254,0.001966,9932,512
9,mlp,0.126777,0.128254,0.001477,9932,512
24,attn,0.127574,0.128254,0.000679,9932,512
10,attn,0.122852,0.128254,0.005401,9932,512
24,mlp,0.124720,0.128254,0.003533,9932,512
10,mlp,0.128371,0.128254,-0.000117,9932,512
25,attn,0.130015,0.128254,-0.001762,9932,512
11,attn,0.124173,0.128254,0.004081,9932,512
25,mlp,0.126308,0.128254,0.001945,9932,512
11,mlp,0.129174,0.128254,-0.000920,9932,512
26,attn,0.125802,0.128254,0.002451,9932,512
12,attn,0.126256,0.128254,0.001998,9932,512
26,mlp,0.128318,0.128254,-0.000064,9932,512
12,mlp,0.126351,0.128254,0.001903,9932,512
27,attn,0.128854,0.128254,-0.000600,9932,512
13,attn,0.127269,0.128254,0.000985,9932,512
27,mlp,0.128091,0.128254,0.000163,9932,512
13,mlp,0.120892,0.128254,0.007362,9932,512
