layer,kind,kl_promoted,kl_base,s_m,n_pos,n_probe
14,attn,0.274600,0.291874,0.017274,710,512
0,attn,0.280637,0.291874,0.011237,710,512
14,mlp,0.296085,0.291874,-0.004211,710,512
0,mlp,0.263767,0.291874,0.028107,710,512
15,attn,0.332632,0.291874,-0.040759,710,512
1,attn,0.283342,0.291874,0.008532,710,512
15,mlp,0.303373,0.291874,-0.011499,710,512
1,mlp,0.257627,0.291874,0.034247,710,512
16,attn,0.267413,0.291874,0.024461,710,512
2,attn,0.299697,0.291874,-0.007823,710,512
16,mlp,0.281954,0.291874,0.009920,710,512
2,mlp,0.293320,0.291874,-0.001447,710,512
17,attn,0.302639,0.291874,-0.010765,710,512
3,attn,0.314749,0.291874,-0.022875,710,512
17,mlp,0.309048,0.291874,-0.017174,710,512
3,mlp,0.263471,0.291874,0.028402,710,512
18,attn,0.293189,0.291874,-0.001315,710,512
4,attn,0.267120,0.291874,0.024754,710,512
18,mlp,0.273478,0.291874,0.018396,710,512
4,mlp,0.290119,0.291874,0.001755,710,512
19,attn,0.302697,0.291874,-0.010823,710,512
5,attn,0.281012,0.291874,0.010862,710,512
19,mlp,0.265915,0.291874,0.025959,710,512
5,mlp,0.308053,0.291874,-0.016179,710,512
20,attn,0.286661,0.291874,0.005213,710,512
6,attn,0.255659,0.291874,0.036215,710,512
20,mlp,0.280881,0.291874,0.010993,710,512
6,mlp,0.250392,0.291874,0.041482,710,512
21,attn,0.291979,0.291874,-0.000106,710,512
7,attn,0.271537,0.291874,0.020337,710,512
21,mlp,0.285941,0.291874,0.005933,710,512
7,mlp,0.295363,0.291874,-0.003489,710,512
22,attn,0.289590,0.291874,0.002284,710,512
8,attn,0.283415,0.291874,0.008459,710,512
22,mlp,0.293395,0.291874,-0.001521,710,512
8,mlp,0.258958,0.291874,0.032916,710,512
23,attn,0.288442,0.291874,0.003432,710,512
9,attn,0.255523,0.291874,0.036351,710,512
23,mlp,0.289044,0.291874,0.002830,710,512
9,mlp,0.281493,0.291874,0.010381,710,512
24,attn,0.287235,0.291874,0.004639,710,512
10,attn,0.254849,0.291874,0.037024,710,512
24,mlp,0.285095,0.291874,0.006779,710,512
10,mlp,0.285933,0.291874,0.005941,710,512
25,attn,0.287876,0.291874,0.003998,710,512
11,attn,0.254427,0.291874,0.037447,710,512
25,mlp,0.289451,0.291874,0.002423,710,512
11,mlp,0.296350,0.291874,-0.004476,710,512
26,attn,0.291262,0.291874,0.000612,710,512
12,attn,0.298049,0.291874,-0.006175,710,512
26,mlp,0.284600,0.291874,0.007274,710,512
12,mlp,0.246369,0.291874,0.045505,710,512
27,attn,0.288900,0.291874,0.002973,710,512
13,attn,0.293127,0.291874,-0.001253,710,512
27,mlp,0.268799,0.291874,0.023075,710,512
13,mlp,0.265518,0.291874,0.026356,710,512
